时间,排名,热搜内容,地域,主题,上榜时间,最后时间
2020/2/18 12:00,37,湖北以外新增病例14连降,国内,疫情-减少,2020/2/18 14:30,"2020/2/18
8:24"
2020/2/18 12:00,39,广东援鄂医疗队员获1万补助,国内-广东,医护-补助,2020/2/18 13:58,"2020/2/18
8:42"
2020/2/18 12:00,43,湖北新增1807例新冠肺炎,国内-湖北,疫情-新增,2020/2/18 13:44,"2020/2/18
7:08"
2020/2/18 12:00,44,涉药央企正进行新冠疫苗研发,国内,疫情-疫苗,2020/2/18 14:28,"2020/2/18
11:56"
2020/2/17 12:00,1,河南信阳出现两例超常规病例,国内-河南-信阳,疫情-新增,2020/2/17 13:32,"2020/2/17
9:20"
2020/2/17 12:00,2,钻石公主号有40名美国人确诊感染,国外-游轮,资讯-钻石公主号,2020/2/17 17:50,"2020/2/17
9:46"
2020/2/17 12:00,3,武汉必须开放的公共场所扫码入出,国内-湖北-武汉,防控-公共场所,2020/2/17 15:16,"2020/2/17
7:20"
2020/2/17 12:00,4,湖北要求疑似患者核酸检测当日清零,国内-湖北,疫情-检测,2020/2/17 17:42,"2020/2/17
9:40"
2020/2/17 12:00,8,全国累计确诊新冠肺炎70548例,国内,疫情-播报,2020/2/17 16:52,"2020/2/17
9:08"
2020/2/17 12:00,10,武汉20位康复医护人员捐血浆,国内-湖北-武汉,疫情-血清捐献,2020/2/17 13:58,"2020/2/17
10:18"
2020/2/17 12:00,12,河南企业研发新型隔离帽,国内-河南,物资-隔离帽,2020/2/17 15:28,"2020/2/17
7:36"
2020/2/17 12:00,13,日本东京奥组委称奥运会将如期举行,国外-日本,资讯-奥运会,2020/2/17 13:34,"2020/2/17
8:22"
2020/2/17 12:00,14,湖北以外新增病例13连降,国内,疫情-减少,2020/2/17 21:06,"2020/2/17
9:34"
2020/2/17 12:00,24,上海乘坐公交必须佩戴口罩,国内-上海,防控-口罩,2020/2/17 15:04,"2020/2/17
11:36"
2020/2/17 12:00,27,国家专家组成员解密上海抗疫用药,国内-上海,专家-抗疫药物,2020/2/17 13:38,"2020/2/17
10:38"
2020/2/17 12:00,32,运20机票致敬白衣战士,国内,医护-集结,2020/2/17 13:22,"2020/2/17
9:20"
2020/2/17 12:00,33,全国第1例新冠肺炎逝世患者遗体解剖,国内,资讯-遗体解剖,2020/2/17 16:50,"2020/2/16
20:52"
2020/2/17 12:00,34,卫健委明确要减轻基层防疫人员负担,国内,政府-防疫人员|卫健委,2020/2/17 12:10,"2020/2/16
16:08"
2020/2/17 12:00,36,湖北新增1933例新冠肺炎,国内-湖北,疫情-新增,2020/2/17 12:48,"2020/2/17
7:10"
2020/2/17 12:00,39,黄冈一线医护人员优先评职称晋升,国内-湖北-黄冈,政府-医护救助,2020/2/17 13:02,"2020/2/17
8:44"
2020/2/17 12:00,43,军队增派2600名医护人员全部抵达武汉,国内,医护-集结|军队,2020/2/17 14:32,"2020/2/17
11:32"
2020/2/17 12:00,44,生产销售问题医用口罩最高可判无期,国内,政府-问责,2020/2/17 13:00,"2020/2/17
7:54"
2020/2/17 12:00,45,追授抗疫牺牲民警王春天二级英模,国内,政府-防疫人员,2020/2/17 12:52,"2020/2/17
11:42"
2020/2/17 12:00,48,追殡葬车哭喊妈妈女孩居家隔离,国内,疫情-死亡案例,2020/2/17 12:40,"2020/2/16
22:38"
2020/2/17 12:00,50,全国累计治愈出院病例破万,国内,疫情-播报|疫情-减少,2020/2/17 12:28,"2020/2/17
9:30"
2020/2/16 12:00,1,医用口罩生产后要解析14天,国内,物资-口罩,2020/2/16 18:42,"2020/2/16
10:40"
2020/2/16 12:00,2,男子解除隔离10天后发病,国内,疫情-复发,2020/2/16 17:24,"2020/2/16
7:46"
2020/2/16 12:00,5,武汉病毒所目前零感染,国内-湖北-武汉,疫情-病毒所,2020/2/16 15:28,"2020/2/16
9:02"
2020/2/16 12:00,7,血浆治疗,国内,疫情-血清捐献,2020/2/16 17:36,"2020/2/16
11:06"
2020/2/16 12:00,9,湖北通报6起防疫不力问责8人,国内-湖北,政府-问责,2020/2/16 19:36,"2020/2/16
11:10"
2020/2/16 12:00,11,江苏医生结婚第二天就出征,国内-江苏,医护,2020/2/16 14:16,"2020/2/16
8:56"
2020/2/16 12:00,15,新冠肺炎已开始在日本流行,国外-日本,疫情-新增,2020/2/16 15:14,"2020/2/15
23:16"
2020/2/16 12:00,21,黑龙江新增20例新冠肺炎,国内-黑龙江,疫情-新增,2020/2/16 14:30,"2020/2/16
10:56"
2020/2/16 12:00,26,疫情下的口罩厂,国内,物资-口罩,2020/2/16 15:36,"2020/2/16
9:02"
2020/2/16 12:00,27,钻石公主号新确诊70例新冠肺炎,国外-游轮,资讯-钻石公主号,2020/2/16 15:02,"2020/2/16
10:32"
2020/2/16 12:00,29,湖北以外新增确诊病例12连降,国内,疫情-减少,2020/2/17 09:28,"2020/2/16
9:12"
2020/2/16 12:00,30,全国累计确诊新冠肺炎68500例,国内,疫情-播报,2020/2/16 13:48,"2020/2/16
9:16"
2020/2/16 12:00,31,峨眉山景区向全国医护工作者免费开放,国内,政府-医护救助,2020/2/16 13:40,"2020/2/16
11:16"
2020/2/16 12:00,32,巴萨声援中国,国外,咨询-巴萨,2020/2/16 13:48,"2020/2/16
8:58"
2020/2/16 12:00,35,连续4天治愈出院超千人,国内,疫情-减少,2020/2/16 13:04,"2020/2/16
10:16"
2020/2/16 12:00,38,辅警抗疫一线奋战18天殉职,国内,政府-防疫人员,2020/2/16 14:06,"2020/2/16
10:24"
2020/2/16 12:00,41,治愈患者留在药盒上的一首诗,国内,疫情-治愈,2020/2/16 13:04,"2020/2/16
8:08"
2020/2/16 12:00,42,湖北新增新冠肺炎1843例,国内-湖北,疫情-新增,2020/2/16 12:56,"2020/2/16
7:36"
2020/2/16 12:00,46,青海连续10天无新增病例,国内-青海,疫情-新增,2020/2/16 12:34,"2020/2/16
11:46"
2020/2/16 12:00,49,谭德塞赞赏中国为疫情做出的努力,国外,WHO|防控-评价,2020/2/16 12:02,"2020/2/16
11:22"
2020/2/15 12:00,1,湖北一半以上确诊病例都用中医药治疗,国内-湖北,疫情-中医,2020/2/15 19:06,"2020/2/15
10:30"
2020/2/15 12:00,2,6毛口罩卖1元平时售价几分钱,国内,物资-口罩,2020/2/15 18:22,"2020/2/15
11:24"
2020/2/15 12:00,3,已派出3支国家中医医疗队2220人,国内,疫情-中医,2020/2/15 16:06,"2020/2/15
10:14"
2020/2/15 12:00,6,新冠肺炎在非洲大陆首例确诊病例,国外-非洲,疫情-新增,2020/2/15 16:12,"2020/2/15
7:42"
2020/2/15 12:00,7,央行向武汉调拨新钞40亿元,国内-湖北-武汉,政府-资金,2020/2/15 16:44,"2020/2/15
10:56"
2020/2/15 12:00,10,张家界疾控中心科长躲疫情被撤职,国内-湖南-张家界,政府-问责,2020/2/15 12:28,"2020/2/15
7:20"
2020/2/15 12:00,11,全国累计确诊新冠肺炎66492例,国内,疫情播报,2020/2/16 06:18,"2020/2/15
8:20"
2020/2/15 12:00,12,韩红,国内,人物-韩红,2020/2/15 15:00,"2020/1/26
10:44"
2020/2/15 12:00,14,武汉重症病例约占确诊和住院病例18%,国内-湖北-武汉,疫情-重症,2020/2/15 12:58,"2020/2/15
10:30"
2020/2/15 12:00,15,钟南山指导研制出快速检测试剂盒,国内,人物-钟南山,2020/2/15 14:04,"2020/2/15
7:32"
2020/2/15 12:00,17,东京马拉松恳请居住中国选手退赛,国外-日本,资讯-马拉松,2020/2/15 17:16,"2020/2/15
11:06"
2020/2/15 12:00,20,连鸡蛋都有清晰记录的捐赠明细,国内,人物-韩红,2020/2/15 14:58,"2020/2/15
8:32"
2020/2/15 12:00,22,新冠病毒显微镜彩照,国内,疫情-知识,2020/2/15 18:10,"2020/2/15
9:28"
2020/2/15 12:00,29,国新办疫情防控发布会,国内,防控-发布会,2020/2/15 16:02,"2020/2/15
9:40"
2020/2/15 12:00,35,荆州,国内-湖北-荆州,其他,2020/2/15 16:48,"2020/2/15
0:56"
2020/2/15 12:00,36,网警回应男子称被父亲派车接回荆州,国内-湖北-荆州,政府-问责,2020/2/15 13:06,"2020/2/15
8:54"
2020/2/15 12:00,40,湖北以外新增病例11连降,国内,疫情-减少,2020/2/15 12:50,"2020/2/15
8:38"
2020/2/15 12:00,44,武汉患者盼到解放军激动说谢谢,国内-湖北-武汉,军队,2020/2/15 15:24,"2020/2/15
11:52"
2020/2/15 12:00,46,此次调动医疗救援规模速度超汶川地震,国内,政府-调度,2020/2/15 12:44,"2020/2/15
10:00"
2020/2/15 12:00,47,京东口罩,国内,物资-口罩,2020/2/15 12:10,"2020/2/14
20:50"
2020/2/14 12:00,2,多地明确延迟开学时间可用暑期补齐,国内,复工-开学,2020/2/16 08:56,"2020/2/14
11:38"
2020/2/14 12:00,3,1岁重型新冠肺炎宝宝康复出院,国内,疫情-治愈,2020/2/14 14:46,"2020/2/14
10:10"
2020/2/14 12:00,8,湖北新增4823例新冠肺炎,国内-湖北,疫情-新增,2020/2/14 15:02,"2020/2/14
8:14"
2020/2/14 12:00,9,江苏新增新冠肺炎23例,国内-江苏,疫情-新增,2020/2/14 14:38,"2020/2/14
11:28"
2020/2/14 12:00,12,治疗性新冠特免血浆制品已投入临床,国内,疫情-治疗|临床试验,2020/2/14 13:52,"2020/2/14
7:04"
2020/2/14 12:00,14,患者康复后体内含抗体,国内,资讯,2020/2/14 14:20,"2020/2/14
7:36"
2020/2/14 12:00,20,中国医生,国内,医护,2020/2/14 15:44,"2020/1/29
20:36"
2020/2/14 12:00,22,河南新增新冠肺炎15例,国内-河南,疫情-新增,2020/2/14 13:30,"2020/2/14
11:28"
2020/2/14 12:00,24,全国多名基层干部获火线提拔,国内,政府-提拔,2020/2/14 14:12,"2020/2/14
10:54"
2020/2/14 12:00,25,当爱情遇上疫情,国内,其他,2020/2/14 14:04,"2020/2/14
9:04"
2020/2/14 12:00,30,全国累计确诊新冠肺炎63851例,国内,疫情-通报,2020/2/14 13:28,"2020/2/14
10:56"
2020/2/14 12:00,33,苏州护士在武汉的25岁生日,国内-湖北-武汉,医护-护士,2020/2/14 12:16,"2020/2/14
9:06"
2020/2/14 12:00,34,加强对湖北及武汉纪检监察工作指导,国内-湖北-武汉,政府-纪检,2020/2/14 12:08,"2020/2/13
21:50"
2020/2/14 12:00,36,女子连闯3个防疫卡点,国内,群众-违规,2020/2/14 16:06,"2020/2/14
11:42"
2020/2/14 12:00,38,天津通过禁食野生动物决定,国内-天津,政府-野生动物,2020/2/14 15:08,"2020/2/14
11:40"
2020/2/14 12:00,40,浙江400名白衣战士驰援武汉,国内-浙江,医护-驰援,2020/2/14 12:26,"2020/2/14
10:38"
2020/2/14 12:00,42,阿富汗小伙搜集2万只口罩捐武汉,国外-阿富汗,群众-捐赠|口罩,2020/2/14 12:28,"2020/2/14
11:00"
2020/2/14 12:00,44,俄罗斯报整版海报为武汉加油,国外-俄罗斯,新闻,2020/2/14 13:26,"2020/2/14
10:58"
2020/2/14 12:00,46,张挪富 有可能出现其他病毒传播途径,国内,专家-张挪富,2020/2/14 12:12,"2020/2/13
22:44"
2020/2/14 12:00,47,河北新增18例确诊病例,国内-河北,疫情-新增,2020/2/14 12:10,"2020/2/14
10:08"
2020/2/13 12:00,1,湖北省委主要负责同志职务调整,国内-湖北,政府-调职,2020/2/14 11:36,"2020/2/13
11:36"
2020/2/13 12:00,2,湖北新增14840例新冠肺炎,国内-湖北,疫情-新增,2020/2/13 17:34,"2020/2/13
8:02"
